plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20170309t191857-C,34.327339,-118.517598,2017-03-09T19:18:57+00,Solid Waste (6A),CH4,mf,"[-118.5241004010001, 34.31895592224715, -118.50669498137184, 34.33337230591993]",ang,2023-05-14 20:21:18.050180+00:00,,,,,1399.0,842.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t191857-D,34.326453,-118.511277,2017-03-09T19:18:57+00,Solid Waste (6A),CH4,mf,"[-118.51554175178484, 34.322034049280475, -118.50397215573946, 34.33158862087287]",ang,2023-05-14 20:21:18.050317+00:00,,,,,696.0,439.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t194008-A,35.49631605,-119.0088268,2017-03-09T19:40:08+00,Oil & Gas (1B2),CH4,mf,"[-119.01558472736082, 35.490552575508794, -119.00274174725116, 35.50100879406978]",ang,2023-05-14 20:21:18.075289+00:00,,,,,274.0,15.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t194008-B,35.5092066,-119.0361665,2017-03-09T19:40:08+00,Oil & Gas (1B2),CH4,mf,"[-119.04275441168224, 35.504442799681634, -119.02996586751632, 35.514898757762076]",ang,2023-05-14 20:21:18.075238+00:00,,,,,510.0,235.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t194008-C,35.53080583,-119.0736699,2017-03-09T19:40:08+00,Oil & Gas (1B2),CH4,mf,"[-119.0798137756905, 35.52634102490033, -119.06702198922667, 35.536796780924114]",ang,2023-05-14 20:21:18.075187+00:00,,,,,487.0,119.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t195546-A,35.48562803,-119.0610832,2017-03-09T19:55:46+00,Oil & Gas (1B2),CH4,mf,"[-119.0675439051769, 35.4802389591821, -119.05470315085633, 35.49069470757112]",ang,2023-05-14 20:21:18.066580+00:00,,,,,142.0,41.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t195546-B,35.48833416,-119.0676895,2017-03-09T19:55:46+00,Oil & Gas (1B2),CH4,mf,"[-119.07374065357185, 35.48293666236522, -119.06095568818795, 35.49339249335332]",ang,2023-05-14 20:21:18.066473+00:00,,,,,157.0,44.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t195546-C,35.437692,-119.008937,2017-03-09T19:55:46+00,Oil & Gas (1B2),CH4,mf,"[-119.0155457777763, 35.43297545244261, -119.00276834543727, 35.44343161541612]",ang,2023-05-14 20:21:18.066526+00:00,,,,,125.0,33.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t195546-D,35.442622,-119.000566,2017-03-09T19:55:46+00,Oil & Gas (1B2),CH4,mf,"[-119.00644763816229, 35.437586773490324, -118.99355669714089, 35.44808895171372]",ang,2023-05-14 20:21:18.066367+00:00,,,,,,,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t195546-E,35.41929931,-119.0083383,2017-03-09T19:55:46+00,Oil & Gas (1B2),CH4,mf,"[-119.01519311305915, 35.414269800037964, -119.00230592470331, 35.424771961378035]",ang,2023-05-14 20:21:18.066420+00:00,,,,,135.0,13.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t201212-A,36.103687,-119.451897,2017-03-09T20:12:12+00,Livestock (4B),CH4,mf,"[-119.45868487575424, 36.09870064365984, -119.44543553307477, 36.10940542623428]",ang,2023-05-14 20:23:24.213692+00:00,,,,,,,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-A,36.021558,-119.519462,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.52539543460794, 36.01653957680787, -119.51210220625201, 36.02729103499578]",ang,2023-05-14 20:21:18.073138+00:00,,,,,444.0,116.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-C,36.04392217,-119.4561613,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.46266399389066, 36.0395155047124, -119.44601291192707, 36.05297860862406]",ang,2023-05-14 20:21:18.073087+00:00,,,,,548.0,170.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-D,36.073456,-119.44093,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.44685286035843, 36.0701386416967, -119.43355008821534, 36.08084375154817]",ang,2023-05-14 20:21:18.073255+00:00,,,,,382.0,140.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-E,36.10245,-119.373447,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.38029413290965, 36.09743746195387, -119.36716003626245, 36.10809605365809]",ang,2023-05-14 20:21:18.073035+00:00,,,,,332.0,125.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-F,36.11623,-119.334158,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.34090946311206, 36.11124194422376, -119.32759919207925, 36.12194748758494]",ang,2023-05-14 20:21:18.073512+00:00,,,,,113.0,31.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-H,36.148927,-119.277947,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.28535910463206, 36.14399260902498, -119.27215888657692, 36.15465155255213]",ang,2023-05-14 20:21:18.073409+00:00,,,,,112.0,47.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-J,36.225585,-119.164414,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.17127374653711, 36.22151922052946, -119.15811763327164, 36.232178792021216]",ang,2023-05-14 20:21:18.073358+00:00,,,,,165.0,69.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-K,36.228564,-119.165915,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.17174049863092, 36.22155988215855, -119.15835239771461, 36.2323598264367]",ang,2023-05-14 20:21:18.073307+00:00,,,,,104.0,32.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-L,36.231254,-119.164158,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.17139944439863, 36.22606460651279, -119.15818475666201, 36.23672405697384]",ang,2023-05-14 20:21:18.073461+00:00,,,,,220.0,90.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t214329-B,34.447442,-118.58673,2017-03-09T21:43:29+00,Oil & Gas (1B2),CH4,mf,"[-118.59206011022093, 34.44233982349231, -118.57992799108544, 34.45234453180591]",ang,2023-05-14 20:23:24.237845+00:00,,,,,462.0,206.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t215824-A,33.928287,-118.429715,2017-03-09T21:58:24+00,Waste Water (6B),CH4,mf,"[-118.43660347639644, 33.92267260140397, -118.42367486161729, 33.93344765494795]",ang,2023-05-14 20:23:28.951629+00:00,,,,,268.0,118.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t221021-C,33.816222,-118.235695,2017-03-09T22:10:21+00,Electricity Generation (1A1),CH4,mf,"[-118.2419959273923, 33.81074335258954, -118.22908328327624, 33.82151921726874]",ang,2023-05-14 20:23:24.224627+00:00,,,,,220.0,63.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t221021-E,33.818714,-118.236133,2017-03-09T22:10:21+00,Electricity Generation (1A1),CH4,mf,"[-118.24283363681606, 33.81317324320305, -118.22980569635226, 33.8239969079549]",ang,2023-05-14 20:23:24.224928+00:00,,,,,257.0,152.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t221021-F,33.906,-118.4063,2017-03-09T22:10:21+00,Electricity Generation (1A1),CH4,mf,"[-118.41275714826179, 33.90083416888577, -118.39977411451619, 33.91160945996669]",ang,2023-05-14 20:23:24.224990+00:00,,,,,248.0,37.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t222247-A,33.776328,-118.22919,2017-03-09T22:22:47+00,Electricity Generation (1A1),CH4,mf,"[-118.23528742013714, 33.77082867783565, -118.22220862188017, 33.78165229107351]",ang,2023-05-14 20:23:19.257158+00:00,,,,,173.0,90.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170615t203702-A,34.447442,-118.58673,2017-06-15T20:37:02+00,Oil & Gas (1B2),CH4,mf,"[-118.58844630938201, 34.44562759159605, -118.58396992285343, 34.44930283169638]",ang,2023-05-14 20:21:18.061031+00:00,,,,,700.0,245.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170615t220302-B,35.201844,-119.053776,2017-06-15T22:03:02+00,Livestock (4B),CH4,mf,"[-119.05624110117277, 35.19980708487307, -119.05124495198015, 35.20390755384917]",ang,2023-05-14 20:21:18.069124+00:00,,,,,47.0,6.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170615t220302-C,35.201378,-119.049871,2017-06-15T22:03:02+00,Livestock (4B),CH4,mf,"[-119.05238351164746, 35.19927739963757, -119.04738738581794, 35.203377876179765]",ang,2023-05-14 20:21:18.069070+00:00,,,,,74.0,13.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170615t223601-A,35.511695,-119.074463,2017-06-15T22:36:01+00,Oil & Gas (1B2),CH4,mf,"[-119.07681339613579, 35.509602047407675, -119.07198599051007, 35.513531547236624]",ang,2023-05-14 20:23:24.233098+00:00,,,,,,,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170615t223601-C,35.525324,-119.075145,2017-06-15T22:36:01+00,Oil & Gas (1B2),CH4,mf,"[-119.07745953610275, 35.52332684184507, -119.07269434337769, 35.52722212271996]",ang,2023-05-14 20:23:24.233042+00:00,,,,,101.0,16.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170615t223601-E,35.53653,-119.077937,2017-06-15T22:36:01+00,Oil & Gas (1B2),CH4,mf,"[-119.0802011961327, 35.53456740914013, -119.07541440512865, 35.53846263766116]",ang,2023-05-14 20:23:24.233154+00:00,,,,,299.0,98.0,,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
